sku,name,category,unit,price,currency,brand,description
LRG-00001,Bulk SKU 1,Tiles & Flooring,pcs,11,INR,Tata,10k catalog row 1
LRG-00002,Bulk SKU 2,Electrical Supplies,pcs,12,INR,Kajaria,10k catalog row 2
LRG-00003,Bulk SKU 3,Plumbing & HVAC,pcs,13,INR,Havells,10k catalog row 3
LRG-00004,Bulk SKU 4,Paint & Finishes,pcs,14,INR,Jaquar,10k catalog row 4
LRG-00005,Bulk SKU 5,Building Materials,pcs,15,INR,Asian Paints,10k catalog row 5
LRG-00006,Bulk SKU 6,Lighting & Fixtures,pcs,16,INR,Bosch,10k catalog row 6
LRG-00007,Bulk SKU 7,Timber & Wood,pcs,17,INR,3M,10k catalog row 7
LRG-00008,Bulk SKU 8,Glass & Aluminium,pcs,18,INR,Jindal,10k catalog row 8
LRG-00009,Bulk SKU 9,Sanitary Ware,pcs,19,INR,Saint-Gobain,10k catalog row 9
LRG-00010,Bulk SKU 10,Steel & Metal,pcs,20,INR,UltraTech,10k catalog row 10
LRG-00011,Bulk SKU 11,Tiles & Flooring,pcs,21,INR,Tata,10k catalog row 11
LRG-00012,Bulk SKU 12,Electrical Supplies,pcs,22,INR,Kajaria,10k catalog row 12
LRG-00013,Bulk SKU 13,Plumbing & HVAC,pcs,23,INR,Havells,10k catalog row 13
LRG-00014,Bulk SKU 14,Paint & Finishes,pcs,24,INR,Jaquar,10k catalog row 14
LRG-00015,Bulk SKU 15,Building Materials,pcs,25,INR,Asian Paints,10k catalog row 15
LRG-00016,Bulk SKU 16,Lighting & Fixtures,pcs,26,INR,Bosch,10k catalog row 16
LRG-00017,Bulk SKU 17,Timber & Wood,pcs,27,INR,3M,10k catalog row 17
LRG-00018,Bulk SKU 18,Glass & Aluminium,pcs,28,INR,Jindal,10k catalog row 18
LRG-00019,Bulk SKU 19,Sanitary Ware,pcs,29,INR,Saint-Gobain,10k catalog row 19
LRG-00020,Bulk SKU 20,Steel & Metal,pcs,30,INR,UltraTech,10k catalog row 20
LRG-00021,Bulk SKU 21,Tiles & Flooring,pcs,31,INR,Tata,10k catalog row 21
LRG-00022,Bulk SKU 22,Electrical Supplies,pcs,32,INR,Kajaria,10k catalog row 22
LRG-00023,Bulk SKU 23,Plumbing & HVAC,pcs,33,INR,Havells,10k catalog row 23
LRG-00024,Bulk SKU 24,Paint & Finishes,pcs,34,INR,Jaquar,10k catalog row 24
LRG-00025,Bulk SKU 25,Building Materials,pcs,35,INR,Asian Paints,10k catalog row 25
LRG-00026,Bulk SKU 26,Lighting & Fixtures,pcs,36,INR,Bosch,10k catalog row 26
LRG-00027,Bulk SKU 27,Timber & Wood,pcs,37,INR,3M,10k catalog row 27
LRG-00028,Bulk SKU 28,Glass & Aluminium,pcs,38,INR,Jindal,10k catalog row 28
LRG-00029,Bulk SKU 29,Sanitary Ware,pcs,39,INR,Saint-Gobain,10k catalog row 29
LRG-00030,Bulk SKU 30,Steel & Metal,pcs,40,INR,UltraTech,10k catalog row 30
LRG-00031,Bulk SKU 31,Tiles & Flooring,pcs,41,INR,Tata,10k catalog row 31
LRG-00032,Bulk SKU 32,Electrical Supplies,pcs,42,INR,Kajaria,10k catalog row 32
LRG-00033,Bulk SKU 33,Plumbing & HVAC,pcs,43,INR,Havells,10k catalog row 33
LRG-00034,Bulk SKU 34,Paint & Finishes,pcs,44,INR,Jaquar,10k catalog row 34
LRG-00035,Bulk SKU 35,Building Materials,pcs,45,INR,Asian Paints,10k catalog row 35
LRG-00036,Bulk SKU 36,Lighting & Fixtures,pcs,46,INR,Bosch,10k catalog row 36
LRG-00037,Bulk SKU 37,Timber & Wood,pcs,47,INR,3M,10k catalog row 37
LRG-00038,Bulk SKU 38,Glass & Aluminium,pcs,48,INR,Jindal,10k catalog row 38
LRG-00039,Bulk SKU 39,Sanitary Ware,pcs,49,INR,Saint-Gobain,10k catalog row 39
LRG-00040,Bulk SKU 40,Steel & Metal,pcs,50,INR,UltraTech,10k catalog row 40
LRG-00041,Bulk SKU 41,Tiles & Flooring,pcs,51,INR,Tata,10k catalog row 41
LRG-00042,Bulk SKU 42,Electrical Supplies,pcs,52,INR,Kajaria,10k catalog row 42
LRG-00043,Bulk SKU 43,Plumbing & HVAC,pcs,53,INR,Havells,10k catalog row 43
LRG-00044,Bulk SKU 44,Paint & Finishes,pcs,54,INR,Jaquar,10k catalog row 44
LRG-00045,Bulk SKU 45,Building Materials,pcs,55,INR,Asian Paints,10k catalog row 45
LRG-00046,Bulk SKU 46,Lighting & Fixtures,pcs,56,INR,Bosch,10k catalog row 46
LRG-00047,Bulk SKU 47,Timber & Wood,pcs,57,INR,3M,10k catalog row 47
LRG-00048,Bulk SKU 48,Glass & Aluminium,pcs,58,INR,Jindal,10k catalog row 48
LRG-00049,Bulk SKU 49,Sanitary Ware,pcs,59,INR,Saint-Gobain,10k catalog row 49
LRG-00050,Bulk SKU 50,Steel & Metal,pcs,60,INR,UltraTech,10k catalog row 50
LRG-00051,Bulk SKU 51,Tiles & Flooring,pcs,61,INR,Tata,10k catalog row 51
LRG-00052,Bulk SKU 52,Electrical Supplies,pcs,62,INR,Kajaria,10k catalog row 52
LRG-00053,Bulk SKU 53,Plumbing & HVAC,pcs,63,INR,Havells,10k catalog row 53
LRG-00054,Bulk SKU 54,Paint & Finishes,pcs,64,INR,Jaquar,10k catalog row 54
LRG-00055,Bulk SKU 55,Building Materials,pcs,65,INR,Asian Paints,10k catalog row 55
LRG-00056,Bulk SKU 56,Lighting & Fixtures,pcs,66,INR,Bosch,10k catalog row 56
LRG-00057,Bulk SKU 57,Timber & Wood,pcs,67,INR,3M,10k catalog row 57
